datetime,open,high,low,close,volume
2026-03-19 09:45:00,52.58,52.85,52.03,52.09,80114
2026-03-19 10:00:00,52.09,52.26,51.79,52.0,52368
2026-03-19 10:15:00,51.93,52.07,51.56,51.62,28914
2026-03-19 10:30:00,51.66,51.8,51.4,51.76,40137
2026-03-19 10:45:00,51.76,51.81,51.6,51.61,12726
2026-03-19 11:00:00,51.61,51.64,51.45,51.52,19629
2026-03-19 11:15:00,51.52,51.82,51.44,51.44,12713
2026-03-19 11:30:00,51.4,51.5,51.19,51.43,19615
2026-03-19 13:15:00,51.41,51.49,51.01,51.17,32273
2026-03-19 13:30:00,51.15,51.39,50.99,51.01,24228
2026-03-19 13:45:00,51.0,51.4,51.0,51.3,14743
2026-03-19 14:00:00,51.31,51.69,51.22,51.57,17478
2026-03-19 14:15:00,51.58,51.62,51.19,51.2,16368
2026-03-19 14:30:00,51.2,51.29,50.98,51.04,26424
2026-03-19 14:45:00,51.05,51.12,50.86,50.88,22239
2026-03-19 15:00:00,50.86,51.16,50.8,51.12,27605
2026-03-20 09:45:00,51.65,51.65,50.42,50.46,69964
2026-03-20 10:00:00,50.45,50.55,49.77,50.05,78622
2026-03-20 10:15:00,50.03,50.19,49.7,50.0,46022
2026-03-20 10:30:00,50.0,50.35,49.74,49.78,30823
2026-03-20 10:45:00,49.78,49.79,49.43,49.6,31849
2026-03-20 11:00:00,49.6,49.87,49.5,49.87,13961
2026-03-20 11:15:00,49.85,50.05,49.71,50.05,8854
2026-03-20 11:30:00,50.06,50.46,50.05,50.45,15139
2026-03-20 13:15:00,50.44,50.59,50.0,50.0,15656
2026-03-20 13:30:00,49.99,50.4,49.87,50.4,14632
2026-03-20 13:45:00,50.38,50.39,50.02,50.04,8523
2026-03-20 14:00:00,50.02,50.07,49.94,49.98,6826
2026-03-20 14:15:00,49.97,50.08,49.91,49.96,5273
2026-03-20 14:30:00,49.95,49.96,49.78,49.82,8759
2026-03-20 14:45:00,49.82,49.89,49.59,49.59,13492
2026-03-20 15:00:00,49.6,49.66,49.44,49.44,35368
2026-03-23 09:45:00,48.45,48.97,47.81,48.28,76420
2026-03-23 10:00:00,48.23,48.23,47.51,48.0,38827
2026-03-23 10:15:00,48.02,48.5,47.98,48.13,35007
2026-03-23 10:30:00,48.13,48.65,47.95,48.35,16740
2026-03-23 10:45:00,48.33,48.33,47.8,47.92,19353
2026-03-23 11:00:00,47.94,48.2,47.85,48.2,12895
2026-03-23 11:15:00,48.19,48.55,47.95,47.98,11871
2026-03-23 11:30:00,47.98,48.03,47.87,47.87,7770
2026-03-23 13:15:00,47.89,48.02,47.33,47.45,27325
2026-03-23 13:30:00,47.41,47.54,47.08,47.11,22200
2026-03-23 13:45:00,47.13,47.68,47.1,47.12,20092
2026-03-23 14:00:00,47.1,47.32,46.96,47.12,21154
2026-03-23 14:15:00,47.1,47.18,46.65,46.66,20878
2026-03-23 14:30:00,46.68,47.15,46.51,46.84,29372
2026-03-23 14:45:00,46.89,46.97,46.54,46.66,27572
2026-03-23 15:00:00,46.67,46.78,46.32,46.78,31406
2026-03-24 09:45:00,47.5,47.75,46.85,47.29,59006
2026-03-24 10:00:00,47.27,47.6,47.11,47.17,47586
2026-03-24 10:15:00,47.16,47.55,47.1,47.15,26902
2026-03-24 10:30:00,47.12,47.4,46.9,47.4,23348
2026-03-24 10:45:00,47.38,48.11,47.19,47.93,31700
2026-03-24 11:00:00,47.93,48.02,47.71,47.76,25931
2026-03-24 11:15:00,47.8,47.98,47.58,47.76,16196
2026-03-24 11:30:00,47.72,47.88,47.62,47.68,10015
2026-03-24 13:15:00,47.68,47.87,47.21,47.21,16296
2026-03-24 13:30:00,47.21,47.28,46.97,47.0,11111
2026-03-24 13:45:00,47.0,47.41,46.99,47.3,12173
2026-03-24 14:00:00,47.28,47.37,47.19,47.29,8311
2026-03-24 14:15:00,47.29,47.46,47.21,47.42,10381
2026-03-24 14:30:00,47.41,47.86,47.41,47.86,17703
2026-03-24 14:45:00,47.8,47.96,47.78,47.87,25080
2026-03-24 15:00:00,47.87,47.97,47.85,47.95,22360
2026-03-25 09:45:00,48.28,50.46,48.12,49.39,82479
2026-03-25 10:00:00,49.39,49.73,49.2,49.45,40298
2026-03-25 10:15:00,49.48,50.0,49.23,49.94,29316
2026-03-25 10:30:00,49.93,50.11,49.72,49.83,35589
2026-03-25 10:45:00,49.84,50.05,49.53,49.77,14450
